Flow ID,Src IP,Dst IP,Src Port,Protocol,Timestamp,Destination Port,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Header Length.1,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-142.251.32.74-37468-443-6,10.0.2.15,142.251.32.74,37468,6,25/02/2024 08:31:25 p.m.,443.0,173438.0,13.0,13.0,2667.0,1399.0,1245.0,0.0,205.1538461538462,388.17797596674774,614.0,0.0,107.61538461538461,188.0671593082014,23443.5360186349,149.90947773844255,6937.519999999998,21348.14102000453,104409.0,6.0,173438.0,14453.166666666666,29879.95885306079,104645.0,107.0,152819.0,12734.916666666666,29810.689426501587,104409.0,6.0,0.0,0.0,0.0,0.0,280.0,264.0,74.95473886922127,74.95473886922127,0.0,1245.0,150.59259259259258,298.5868330420765,89154.09686609685,1.0,2.0,0.0,13.0,25.0,0.0,0.0,0.0,1.0,156.3846153846154,205.15384615384616,107.61538461538461,280.0,0.0,0.0,0.0,4066.0,13.0,26842.0,0.0,102.0,0.0,53.0,64240.0,65535.0,8.0,20.0,0.0,0.0,0.0,0.0,1708911085199992.0,0.0,1708911085199992.0,1708911085199992.0,BENIGN
10.0.2.15-142.251.32.74-40668-443-6,10.0.2.15,142.251.32.74,40668,6,25/02/2024 08:31:31 p.m.,443.0,362317.0,13.0,12.0,2665.0,1438.0,1245.0,0.0,204.99999999999997,387.9948453265842,645.0,0.0,119.83333333333331,196.93784590960456,11324.33752763464,69.00035052178065,15096.54166666667,45961.275865837095,205941.0,9.0,362317.0,30193.083333333336,62925.15941462573,206577.0,59.0,258210.0,23473.63636363636,61040.06198436028,205941.0,29.0,0.0,0.0,0.0,0.0,280.0,244.0,35.880182271325936,33.12016825045471,0.0,1245.0,157.8076923076923,303.5964452006339,92170.80153846153,1.0,2.0,0.0,13.0,24.0,0.0,0.0,0.0,0.0,164.12,205.0,119.83333333333333,280.0,0.0,0.0,0.0,4103.0,13.0,16041.0,0.0,106.0,0.0,57.0,64240.0,65535.0,8.0,20.0,0.0,0.0,0.0,0.0,1708911091546932.0,0.0,1708911091546932.0,1708911091546932.0,BENIGN
142.251.32.74-10.0.2.15-443-40668-6,142.251.32.74,10.0.2.15,443,6,25/02/2024 08:31:31 p.m.,40668.0,17705.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.92487997740753,5901.666666666667,9696.316637431626,17093.0,16.0,17705.0,5901.666666666667,9696.316637431626,17093.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,225.92487997740753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65535.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1708911091909694.0,0.0,1708911091909694.0,1708911091909694.0,BENIGN
10.0.2.15-132.213.202.32-35162-53-17,10.0.2.15,132.213.202.32,35162,17,25/02/2024 08:31:05 p.m.,53.0,35548.0,1.0,1.0,51.0,65.0,51.0,51.0,51.0,0.0,65.0,65.0,65.0,0.0,3263.193428603578,56.26195566557893,35548.0,0.0,35548.0,35548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,28.130977832789466,28.130977832789466,51.0,65.0,55.666666666666664,8.082903768654761,65.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.5,51.0,65.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,32.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911065207389.0,0.0,1708911065207389.0,1708911065207389.0,BENIGN
10.0.2.15-142.251.41.34-39790-443-17,10.0.2.15,142.251.41.34,39790,17,25/02/2024 08:31:31 p.m.,443.0,4451770.0,13.0,18.0,2822.0,9861.0,1357.0,29.0,217.07692307692307,379.7899554443354,1357.0,24.0,547.8333333333333,485.5803380552824,2848.979170082911,6.963522374246648,148392.3333333333,445165.13597535243,2215222.0,43.0,1069185.0,89098.75,189553.13420546133,651926.0,110.0,4395205.0,258541.4705882353,574809.9948496153,2215222.0,512.0,0.0,0.0,0.0,0.0,104.0,144.0,2.920186802103433,4.043335572143215,24.0,1357.0,438.75,489.74845419571955,239853.54838709682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,452.9032258064516,217.07692307692307,547.8333333333334,104.0,0.0,0.0,0.0,10693.0,29.0,9448.0,0.0,91.0,0.0,318.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,1708911091899097.0,0.0,1708911091899097.0,1708911091899097.0,BENIGN
10.0.2.15-132.213.202.32-40170-53-17,10.0.2.15,132.213.202.32,40170,17,25/02/2024 08:31:28 p.m.,53.0,10345.0,1.0,1.0,44.0,146.0,44.0,44.0,44.0,0.0,146.0,146.0,146.0,0.0,18366.360560657322,193.33011116481393,10345.0,0.0,10345.0,10345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,96.66505558240696,96.66505558240696,44.0,146.0,78.0,58.88972745734183,3468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,44.0,146.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,73.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911088075749.0,0.0,1708911088075749.0,1708911088075749.0,BENIGN
10.0.2.15-132.213.202.32-51073-53-17,10.0.2.15,132.213.202.32,51073,17,25/02/2024 08:31:28 p.m.,53.0,11399.0,1.0,1.0,44.0,186.0,44.0,44.0,44.0,0.0,186.0,186.0,186.0,0.0,20177.20852706378,175.45398719185894,11399.0,0.0,11399.0,11399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,87.72699359592947,87.72699359592947,44.0,186.0,91.33333333333334,81.98373822492687,6721.333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.0,44.0,186.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,93.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911088075961.0,0.0,1708911088075961.0,1708911088075961.0,BENIGN
10.0.2.15-142.250.31.84-56698-443-6,10.0.2.15,142.250.31.84,56698,6,25/02/2024 08:31:29 p.m.,443.0,209179.0,11.0,12.0,3768.0,7431.0,2797.0,0.0,342.5454545454545,837.4284881273582,2934.0,0.0,619.25,1062.7958946271685,53537.879041395165,109.95367603822564,9508.136363636364,24331.159047599176,108288.0,5.0,208643.0,20864.3,34098.59084103689,108931.0,88.0,187057.0,17005.18181818182,32807.137963614514,108288.0,5.0,0.0,0.0,0.0,0.0,240.0,244.0,52.586540713934,57.36713532429163,0.0,2934.0,466.625,934.9349111266936,874103.2880434784,0.0,2.0,0.0,10.0,22.0,0.0,0.0,0.0,1.0,486.9130434782609,342.54545454545456,619.25,240.0,0.0,0.0,0.0,11199.0,10.0,60531.0,0.0,163.0,0.0,323.0,64240.0,65535.0,6.0,20.0,0.0,0.0,0.0,0.0,1708911089481945.0,0.0,1708911089481945.0,1708911089481945.0,BENIGN
10.0.2.15-132.213.202.31-35690-53-17,10.0.2.15,132.213.202.31,35690,17,25/02/2024 08:31:22 p.m.,53.0,5869.0,1.0,1.0,42.0,99.0,42.0,42.0,42.0,0.0,99.0,99.0,99.0,0.0,24024.535696029987,340.77355597205656,5869.0,0.0,5869.0,5869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,170.38677798602828,170.38677798602828,42.0,99.0,61.0,32.90896534380867,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.5,42.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,49.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911082541175.0,0.0,1708911082541175.0,1708911082541175.0,BENIGN
10.0.2.15-132.213.202.31-36374-53-17,10.0.2.15,132.213.202.31,36374,17,25/02/2024 08:31:22 p.m.,53.0,79840.0,1.0,1.0,66.0,144.0,66.0,66.0,66.0,0.0,144.0,144.0,144.0,0.0,2630.2605210420843,25.050100200400802,79840.0,0.0,79840.0,79840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.525050100200401,12.525050100200401,66.0,144.0,92.0,45.033320996790806,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,138.0,66.0,144.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,72.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911082965518.0,0.0,1708911082965518.0,1708911082965518.0,BENIGN
10.0.2.15-132.213.202.31-35643-53-17,10.0.2.15,132.213.202.31,35643,17,25/02/2024 08:31:22 p.m.,53.0,3102.0,1.0,1.0,42.0,99.0,42.0,42.0,42.0,0.0,99.0,99.0,99.0,0.0,45454.545454545456,644.7453255963894,3102.0,0.0,3102.0,3102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,322.3726627981947,322.3726627981947,42.0,99.0,61.0,32.90896534380867,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.5,42.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,49.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1708911082547901.0,0.0,1708911082547901.0,1708911082547901.0,BENIGN
