Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
132.213.96.8-52.138.124.216-55722-443-6,132.213.96.8,55722,52.138.124.216,443,6,11/02/2024 12:05:34 AM,29921,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.842685739113,29921.0,0.0,29921.0,29921.0,0.0,0.0,0.0,0.0,0.0,29921.0,29921.0,0.0,29921.0,29921.0,0,0,0,0,0,40,0.0,66.842685739113,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,2050,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-54.144.73.197-55804-443-6,132.213.96.8,55804,54.144.73.197,443,6,11/02/2024 12:05:35 AM,19741,0,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1570.3358492477582,151.9679854110734,9870.5,13958.994967403634,19741.0,0.0,0.0,0.0,0.0,0.0,0.0,19741.0,9870.5,13958.994967403634,19741.0,0.0,0,0,0,0,0,60,0.0,151.9679854110734,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,0,0,0,0,0,0,3,31,-1,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-20.69.137.228-55726-443-6,132.213.96.8,55726,20.69.137.228,443,6,11/02/2024 12:05:38 AM,73067,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.372137900830747,73067.0,0.0,73067.0,73067.0,0.0,0.0,0.0,0.0,0.0,73067.0,73067.0,0.0,73067.0,73067.0,0,0,0,0,0,40,0.0,27.372137900830747,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16388,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-185.26.182.112-55974-443-6,132.213.96.8,55974,185.26.182.112,443,6,11/02/2024 12:05:39 AM,209748,5,6,616.0,3139.0,536.0,0.0,123.2,233.34780907478003,1300.0,0.0,523.1666666666666,636.9145677927822,17902.43530331636,52.44388504300399,20974.8,38236.52710229375,92884.0,0.0,116716.0,29179.0,43805.75927888935,94081.0,1306.0,191508.0,38301.6,51850.02606363858,97262.0,0.0,0,0,0,0,100,136,23.83812956500181,28.605755478002177,0.0,1300.0,312.91666666666674,503.5523730698153,253564.9924242425,0,1,0,0,0,0,0,0,1.0,341.3636363636364,123.2,523.1666666666666,0,0,0,0,0,0,5,616,6,3139,-1,42364,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-185.26.182.112-55973-443-6,132.213.96.8,55973,185.26.182.112,443,6,11/02/2024 12:05:39 AM,210238,5,6,597.0,3138.0,517.0,0.0,119.4,224.94843853647887,1300.0,0.0,523.0,636.9097267274225,17765.579961757627,52.32165450584576,21023.800000000003,38255.4585699871,93225.0,0.0,116914.0,29228.5,43860.34266852005,94182.0,930.0,192075.0,38415.0,51926.54770442572,97321.0,0.0,0,0,0,0,100,136,23.78257022992989,28.539084275915865,0.0,1300.0,311.25,502.7754107316344,252783.11363636365,0,1,0,0,0,0,0,0,1.0,339.54545454545456,119.4,523.0,0,0,0,0,0,0,5,597,6,3138,-1,42383,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-185.26.182.112-55976-443-6,132.213.96.8,55976,185.26.182.112,443,6,11/02/2024 12:05:39 AM,209493,5,6,616.0,3137.0,536.0,0.0,123.2,233.34780907478003,1300.0,0.0,522.8333333333334,636.9051473074045,17914.67972676891,52.50772102170478,20949.3,39659.669848040285,95723.0,0.0,113863.0,28465.75,46233.23612853276,96957.0,472.0,193179.0,38635.8,52288.81267250195,96268.0,0.0,0,0,0,0,100,136,23.86714591895672,28.640575102748063,0.0,1300.0,312.75000000000006,503.4710653417569,253483.11363636368,0,1,0,0,0,0,0,0,1.0,341.1818181818182,123.2,522.8333333333334,0,0,0,0,0,0,5,616,6,3137,-1,42364,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-54.144.73.197-55812-443-6,54.144.73.197,443,132.213.96.8,55812,6,11/02/2024 12:05:39 AM,19509,0,3,0.0,62.0,0.0,0.0,0.0,0.0,31.0,0.0,20.666666666666664,17.8978583448784,3178.020400840638,153.7751806858373,9754.5,13683.22332274088,19430.0,79.0,0.0,0.0,0.0,0.0,0.0,19509.0,9754.5,13683.22332274088,19430.0,79.0,0,1,0,0,0,60,0.0,153.7751806858373,0.0,31.0,23.25,15.5,240.25,0,0,0,1,1,0,0,0,0.0,31.0,0.0,20.666666666666668,0,0,0,0,0,0,0,0,3,62,-1,254,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-185.26.182.112-55974-443-6,185.26.182.112,443,132.213.96.8,55974,6,11/02/2024 12:05:39 AM,1044,1,2,0.0,62.0,0.0,0.0,0.0,0.0,62.0,0.0,31.0,43.840620433565945,59386.97318007663,2873.5632183908046,522.0,675.9940828143394,1000.0,44.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,44.0,44.0,0,1,0,0,20,40,957.8544061302682,1915.7088122605364,0.0,62.0,31.0,35.795716689756794,1281.3333333333333,0,0,0,1,1,0,0,0,2.0,41.333333333333336,0.0,31.0,0,0,0,0,0,0,1,0,2,62,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-185.26.182.112-55973-443-6,185.26.182.112,443,132.213.96.8,55973,6,11/02/2024 12:05:39 AM,1044,1,2,0.0,62.0,0.0,0.0,0.0,0.0,62.0,0.0,31.0,43.840620433565945,59386.97318007663,2873.5632183908046,522.0,606.6976182580578,951.0,93.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,0.0,93.0,93.0,0,1,0,0,20,40,957.8544061302682,1915.7088122605364,0.0,62.0,31.0,35.795716689756794,1281.3333333333333,0,0,0,1,1,0,0,0,2.0,41.333333333333336,0.0,31.0,0,0,0,0,0,0,1,0,2,62,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
132.213.96.8-185.26.182.112-55976-443-6,185.26.182.112,443,132.213.96.8,55976,6,11/02/2024 12:05:39 AM,0,1,1,0.0,62.0,0.0,0.0,0.0,0.0,62.0,62.0,62.0,0.0,inf,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,20,20,0.0,0.0,0.0,62.0,41.33333333333333,35.7957166897568,1281.3333333333337,0,0,0,1,1,0,0,0,1.0,62.0,0.0,62.0,0,0,0,0,0,0,1,0,1,62,-1,42284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
